,locations,source_reliability,media,confidence,text,text_translated,_timestamp,num_persons,mode,origin,destination,geom_tweet,triage_status,source,uniqueid
0,"['ankara', 'baghdad']",0.0,,0.581,الخطوط تنقل 275 مهاجراً من أنقرة إلى بغداد https://t.co/kJF9pQdLet,the lines carry 275 migrants from ankara to baghdad,2019-12-11 16:31:09,275.0,,TR510,,01010000003BDF4F8D976E40409CC420B072F84340,,twitter,0
1,[],0.169,['http://pbs.twimg.com/media/CUSHB2mUAAEg0_w.jpg'],0.566,"RT @KAR_SH_313: تم الرفس
صيد اليوم من حدود الشرقاط
#جاري_تحميل_الرمادي
دواعش اليوم سماد الغد

#سنرعبهم_في_الاربعين_لبيك_يا_حسين https://t.c…",kar sh 313 has been launched todays hunt from the borders of irqat downloads radadi,2019-12-13 20:49:57,313.0,,,,,,twitter,1
2,['greece'],0.233,,0.898,السلطات التركية توقف 1300 مهاجر قبل إبحارهم إلى اليونان https://t.co/GNWgzhBv5d أخبار,turkish authorities stop 1300 migrants before sailing to greece news,2019-12-23 21:31:23,1300.0,,,EL,010100000000000000000036400000000000804340,,twitter,2
3,"['libya', 'italia']",0.833,,0.677,"البحرية الإيطالية: أكثر من 1500 مهاجر تم إنقاذهم قبالة سواحل ليبيا
#الموصلية",italian navy more than 1500 migrants rescued off the coast of libya,2019-12-26 19:33:11,1500.0,,,,01010000009031772D215F2A40C139234A7B734040,,twitter,3
4,"['greece', 'turkey']",0.115,['http://pbs.twimg.com/media/CVYfgd9XAAE5JuX.jpg'],0.863,"RT @20fourMedia: #تركيا توقف لاجئين أثناء توجههم لـ #اليونان
https://t.co/CjDWK2GH3f https://t.co/21sYzUTGGw",20fourmedia turkey stopped refugees while heading for greece,2019-12-27 12:50:19,,,,,010100000000000000000036400000000000804340,,twitter,4
5,"['macedonia', 'greece']",0.852,,0.789,مقدونيا تفتح حدودها مع اليونان للاجئين  https://t.co/qEdXvrDVI7,macedonia opens border with greece for refugees,2019-12-27 14:16:27,,,,,0101000000575BB1BFEC6E35400000000000004540,,twitter,5
7,"['rafah', 'gaza']",0.288,,0.744,RT @paldf: إغلاق #معبر_رفح بعد ظهر اليوم السبت بعد خروج 1526 من #غزة، ودخول 564 من العالقين إلى #غزة، وعودة 36 فلسطينياً كانوا في السجون ال…,rafah crossing closed on saturday afternoon after 1526 out of gaza 564 people stranded in gaza and 36 palestinians returned to prison,2019-12-28 14:18:28,,,,,01010000009A99999999394140DCD7817346843F40,,twitter,6
8,"['rafah', 'gaza']",0.223,,0.99,RT @PalinfoAr: إغلاق #معبر_رفح بعد ظهر اليوم السبت بعد خروج 1526 من #غزة، ودخول 564 من العالقين إلى #غزة، وعودة 36 فلسطينياً كانوا في السجو…,rafah crossing closed on saturday afternoon after 1526 out of gaza 564 people stranded in gaza 36 palestinians returned,2019-12-28 14:22:18,,,,,01010000009A99999999394140DCD7817346843F40,,twitter,7
9,['aegean sea'],0.369,,0.512,RT @AlArabiya_Brk: وسائل إعلام تركية: مقتل 18 مهاجرا بعد غرق قاربهم في بحر إيجه #العربية_عاجل,turkish media 18 migrants killed after their boat sank in the aegean sea,2020-01-11 07:56:14,18.0,boat,,,01010000003333333333F336400000000000804340,,twitter,8
10,['aegean sea'],0.04,,0.62,"Retweeted تيّار المستقبل (@Almustaqbal):

مقتل 18 مهاجرا غرقا في بحر ايجه
https://t.co/7fpCjwbEYp https://t.co/jFvFbxRcSz",the future stream 18 migrants drowned in aegean sea,2020-01-11 11:23:13,18.0,,,,01010000003333333333F336400000000000804340,,twitter,9
11,['turkey'],0.0,,0.792,RT @AlArabiya_Brk: غرق 11 لاجئا لدى عبورهم من تركيا بينهم 3 أطفال #العربية_عاجل,11 refugees drowned when crossing from turkey including 3 children,2020-01-14 12:27:25,11.0,,TR,,01010000003BDF4F8D976E40409CC420B072F84340,,twitter,10
12,"['aegean sea', 'egypt']",0.195,['http://pbs.twimg.com/media/CW6SD9uVAAArXtv.jpg'],0.715,اخبار مصر الان اليونان: غرق 13 مهاجرًا بينهم 7 أطفال في بحر إيجة https://t.co/EX22e8z9CN https://t.co/I5eXoPxtnG,egypt 13 migrants sank including 7 children in the aegean sea,2020-01-15 12:34:21,,,,,0101000000ED0DBE30993A3F40C9E53FA4DF0E3E40,,twitter,11
13,['aegean sea'],0.268,,0.52,RT @AJABreaking: عاجل | وكالة الأناضول: مصرع 9 لاجئين بينهم أطفال وإنقاذ 21 بعد غرق قاربهم في بحر إيجه,urgent anatolia 9 refugees including children were rescued and 21 rescued after their boat sank in the aegean sea,2020-01-16 09:22:50,9.0,boat,,,01010000003333333333F336400000000000804340,,twitter,12
14,"['zabadani', 'lebanon', 'syria']",0.0,,0.511,RT @AlMayadeenLive: #لبنان: وصول الحافلات التي تقل جرحى الزبداني إلى جديدة يابوس عند الحدود السورية اللبنانية,lebanon buses carrying zabadani wounded arrive at jadida yabous at syrian lebanese border,2020-01-20 11:04:05,,bus,,,0101000000EA95B20C710C4240CDCCCCCCCCDC4040,,twitter,13
15,"['jordan', 'syria']",0.213,,0.554,الأردن يستقبل 121 لاجئا سوريا خلال الثمانى والأربعين ساعة الماضية https://t.co/kHtWr8dGha,jordan receives 121 syrian refugees during the last 48 hours,2020-01-23 15:04:50,121.0,,,,0101000000BADA8AFD65F74140DE02098A1FF33F40,,twitter,14
16,"['turkey', 'syria']",0.381,,0.867,"ارتفاع وتيرة عودة اللاجئين السوريين إلى بلادهم من تركيا
http://t.co/Gh1POVuNSn",high frequency of syrian refugees returning home from turkey,2019-05-27 13:04:07,,,TR,,01010000003BDF4F8D976E40409CC420B072F84340,,twitter,15
