uniqueid,_timestamp,source,no_persons,valid_from,valid_to,is_forecast,confidence_lower,confidence_upper,nuts_code
1274,2019-08-17,humdata_exercise,5546,2019-08-17,2020-12-31,False,,,HR
1170,2019-09-14,humdata_exercise,9323,2019-09-14,2020-12-31,False,,,EL
1218,2019-09-18,humdata_exercise,6682,2019-09-18,2020-12-31,False,,,MK
1138,2019-09-26,humdata_exercise,24,2019-09-26,2020-12-31,False,,,IT
1332,2019-08-31,humdata_exercise,6353,2019-08-31,2020-12-31,False,,,HU
1169,2019-09-13,humdata_exercise,8847,2019-09-13,2020-12-31,False,,,EL
1324,2019-08-23,humdata_exercise,4583,2019-08-23,2020-12-31,False,,,HU
1573,2019-09-29,distance_simulation,658,2019-09-29,2019-10-01,True,,,AT34
1577,2019-09-29,distance_simulation,1258,2019-09-29,2019-10-01,True,,,AT31
1229,2019-08-16,humdata_exercise,5900,2019-08-16,2020-12-31,False,,,RS
1126,2019-09-14,humdata_exercise,823,2019-09-14,2020-12-31,False,,,IT
1438,2019-09-18,humdata_exercise,6900,2019-09-18,2020-12-31,False,,,AT
1314,2019-09-26,humdata_exercise,8524,2019-09-26,2020-12-31,False,,,HR
1240,2019-08-27,humdata_exercise,6556,2019-08-27,2020-12-31,False,,,RS
1103,2019-08-22,humdata_exercise,1010,2019-08-22,2020-12-31,False,,,IT
1370,2019-08-25,humdata_exercise,0,2019-08-25,2020-12-31,False,,,SI
1117,2019-09-05,humdata_exercise,219,2019-09-05,2020-12-31,False,,,IT
1162,2019-09-06,humdata_exercise,7651,2019-09-06,2020-12-31,False,,,EL
1194,2019-08-25,humdata_exercise,4922,2019-08-25,2020-12-31,False,,,MK
1259,2019-09-15,humdata_exercise,9834,2019-09-15,2020-12-31,False,,,RS
1319,2019-08-18,humdata_exercise,6056,2019-08-18,2020-12-31,False,,,HU
1420,2019-08-31,humdata_exercise,6500,2019-08-31,2020-12-31,False,,,AT
1388,2019-09-12,humdata_exercise,9848,2019-09-12,2020-12-31,False,,,SI
1100,2019-08-19,humdata_exercise,62,2019-08-19,2020-12-31,False,,,IT
1440,2019-09-20,humdata_exercise,7478,2019-09-20,2020-12-31,False,,,AT
1334,2019-09-02,humdata_exercise,41,2019-09-02,2020-12-31,False,,,HU
1557,2019-09-29,distance_simulation,570,2019-09-29,2019-10-01,True,,,AT22
1406,2019-08-17,humdata_exercise,2700,2019-08-17,2020-12-31,False,,,AT
1127,2019-09-15,humdata_exercise,0,2019-09-15,2020-12-31,False,,,IT
1175,2019-09-19,humdata_exercise,5740,2019-09-19,2020-12-31,False,,,EL
1435,2019-09-15,humdata_exercise,7691,2019-09-15,2020-12-31,False,,,AT
1236,2019-08-23,humdata_exercise,4650,2019-08-23,2020-12-31,False,,,RS
1233,2019-08-20,humdata_exercise,3250,2019-08-20,2020-12-31,False,,,RS
1192,2019-08-23,humdata_exercise,7663,2019-08-23,2020-12-31,False,,,MK
1426,2019-09-06,humdata_exercise,3767,2019-09-06,2020-12-31,False,,,AT
1122,2019-09-10,humdata_exercise,0,2019-09-10,2020-12-31,False,,,IT
1443,2019-09-23,humdata_exercise,3465,2019-09-23,2020-12-31,False,,,AT
1110,2019-08-29,humdata_exercise,207,2019-08-29,2020-12-31,False,,,IT
1301,2019-09-13,humdata_exercise,6615,2019-09-13,2020-12-31,False,,,HR
1403,2019-09-27,humdata_exercise,9681,2019-09-27,2020-12-31,False,,,SI
1379,2019-09-03,humdata_exercise,7677,2019-09-03,2020-12-31,False,,,SI
1130,2019-09-18,humdata_exercise,0,2019-09-18,2020-12-31,False,,,IT
1234,2019-08-21,humdata_exercise,2650,2019-08-21,2020-12-31,False,,,RS
1111,2019-08-30,humdata_exercise,0,2019-08-30,2020-12-31,False,,,IT
1214,2019-09-14,humdata_exercise,7663,2019-09-14,2020-12-31,False,,,MK
1581,2019-09-29,distance_simulation,1197,2019-09-29,2019-10-01,True,,,DE21
